gapy --target=gapuino_v3 --platform=board --work-dir=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS      run --exec-prepare --exec --binary=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS/test_mem  
TARGET create
GAP8 INIT TARGET
GAP8 examine target
Init jtag
Initialising GAP8 JTAG TAP
Loading binary through JTAG
312 0.000189 1650863.625000
313 0.000202 1547911.000000
314 0.000203 1545275.500000
315 0.000204 1542665.750000
316 0.000191 1651614.000000
317 0.000205 1550031.250000
318 0.000206 1547174.250000
319 0.000207 1544345.500000
320 0.000194 1652346.250000
321 0.000207 1552104.375000
322 0.000208 1549030.125000
323 0.000209 1546460.875000
324 0.000196 1653601.250000
325 0.000209 1553893.875000
326 0.000210 1551317.125000
327 0.000211 1548530.000000
328 0.000198 1654026.125000
329 0.000211 1555643.875000
330 0.000213 1552853.375000
331 0.000213 1550554.625000
332 0.000201 1654968.875000
333 0.000214 1557355.500000
334 0.000215 1554819.000000
335 0.000216 1552075.625000
336 0.000203 1655629.250000
337 0.000216 1559492.125000
338 0.000217 1556742.750000
339 0.000218 1554247.250000
340 0.000205 1656274.250000
341 0.000218 1561126.625000
342 0.000219 1558626.250000
343 0.000220 1555922.500000
344 0.000208 1657160.625000
345 0.000221 1562500.000000
346 0.000222 1560020.250000
347 0.000223 1558010.000000
348 0.000210 1658279.875000
349 0.000223 1564292.875000
350 0.000224 1561830.625000
351 0.000225 1559390.125000
352 0.000212 1658624.750000
353 0.000225 1566271.500000
354 0.000226 1563383.375000
355 0.000227 1560961.000000
356 0.000215 1659209.500000
357 0.000228 1567549.625000
358 0.000229 1565342.000000
359 0.000230 1562717.625000
360 0.000217 1660271.625000
361 0.000230 1569237.750000
362 0.000231 1566828.250000
363 0.000232 1564439.375000
364 0.000219 1660826.375000
365 0.000232 1570892.375000
366 0.000233 1568499.625000
367 0.000234 1565913.500000
368 0.000221 1661609.625000
369 0.000235 1572729.125000
370 0.000236 1569712.125000
371 0.000237 1567358.375000
372 0.000224 1662139.000000
373 0.000237 1573680.375000
374 0.000238 1571111.750000
375 0.000239 1568985.250000
376 0.000226 1662657.500000
377 0.000239 1575454.625000
378 0.000240 1572902.875000
379 0.000241 1570580.875000
380 0.000228 1663398.250000
381 0.000242 1576777.875000
382 0.000243 1574245.000000
383 0.000244 1571939.875000
384 0.000231 1664124.250000
385 0.000244 1578075.875000
386 0.000245 1575767.625000
387 0.000246 1573273.000000
388 0.000233 1664607.250000
389 0.000246 1579554.375000
390 0.000247 1577057.375000
391 0.000248 1574581.250000
392 0.000235 1665080.875000
393 0.000249 1580801.875000
394 0.000250 1578323.375000
395 0.000251 1576267.500000
396 0.000238 1665769.250000
397 0.000251 1582026.250000
398 0.000252 1579766.250000
399 0.000253 1577524.000000
400 0.000240 1666666.750000
401 0.000253 1583428.125000
402 0.000254 1581183.125000
403 0.000255 1578955.625000
404 0.000242 1666886.750000
405 0.000256 1584606.250000
406 0.000257 1582377.250000
407 0.000258 1580361.625000
408 0.000245 1667538.625000
409 0.000258 1585763.000000
410 0.000259 1583745.375000
411 0.000260 1581547.875000
412 0.000247 1667962.250000
413 0.000260 1587289.375000
414 0.000261 1584895.125000
415 0.000262 1582519.750000
416 0.000249 1668592.000000
417 0.000263 1588402.125000
418 0.000264 1586024.750000
419 0.000265 1583666.000000
420 0.000252 1669210.250000
421 0.000265 1589495.000000
422 0.000266 1587516.625000
423 0.000267 1584982.000000
424 0.000254 1669606.875000
425 0.000267 1590759.500000
426 0.000268 1588414.250000
427 0.000269 1586652.750000
428 0.000256 1670204.625000
429 0.000270 1591813.125000
430 0.000271 1589484.375000
431 0.000271 1587547.125000
432 0.000259 1670792.125000
433 0.000272 1593036.250000
434 0.000273 1590722.500000
435 0.000274 1588797.375000
436 0.000261 1670959.000000
437 0.000274 1594239.000000
438 0.000275 1591940.000000
439 0.000276 1589658.250000
440 0.000263 1671529.375000
441 0.000276 1595421.250000
442 0.000277 1593137.250000
443 0.000278 1590870.000000
444 0.000266 1672089.625000
445 0.000279 1596217.750000
446 0.000280 1593950.125000
447 0.000281 1592061.750000
448 0.000268 1672640.500000
449 0.000281 1597364.500000
450 0.000282 1595111.125000
451 0.000283 1593234.250000
452 0.000270 1672785.500000
453 0.000283 1598492.500000
454 0.000284 1596253.375000
455 0.000285 1594387.750000
456 0.000273 1673320.750000
457 0.000286 1599602.375000
458 0.000287 1597377.250000
459 0.000288 1595522.750000
460 0.000275 1673847.250000
461 0.000288 1600338.750000
462 0.000289 1598483.125000
463 0.000290 1596287.375000
464 0.000277 1673978.250000
465 0.000290 1601416.250000
466 0.000291 1599220.250000
467 0.000292 1597389.500000
468 0.000279 1674490.625000
469 0.000293 1602827.000000
470 0.000294 1600294.250000
471 0.000295 1598474.125000
472 0.000282 1674994.250000
473 0.000295 1603520.375000
474 0.000296 1601351.250000
475 0.000297 1599197.375000
476 0.000284 1675112.625000
477 0.000297 1604202.500000
478 0.000298 1602392.250000
479 0.000299 1600251.250000
480 0.000286 1675977.625000
481 0.000300 1605216.875000
482 0.000301 1603417.000000
483 0.000302 1600949.250000
484 0.000289 1676086.000000
485 0.000302 1606556.125000
486 0.000303 1604087.375000
487 0.000304 1602310.875000
488 0.000291 1676561.125000
489 0.000304 1606861.125000
490 0.000305 1605083.875000
491 0.000306 1603317.750000
492 0.000293 1677028.750000
493 0.000307 1608168.000000
494 0.000308 1605731.250000
495 0.000309 1603976.625000
496 0.000296 1677126.125000
497 0.000309 1609122.500000
498 0.000310 1606700.500000
499 0.000311 1604625.375000
500 0.000298 1677582.125000
501 0.000311 1609731.625000
502 0.000312 1607655.125000
503 0.000313 1605592.625000
504 0.000300 1678031.125000
505 0.000314 1610331.625000
506 0.000315 1608596.125000
507 0.000316 1606871.250000
508 0.000303 1678473.250000
509 0.000316 1611249.125000
510 0.000317 1609523.250000
511 0.000318 1607160.750000
512 0.000305 1678556.375000
513 0.000318 1612153.000000
514 0.000319 1610114.250000
515 0.000320 1608409.875000
516 0.000311 1659633.625000
517 0.000325 1591435.250000
518 0.000326 1589503.000000
519 0.000327 1587894.000000
520 0.000313 1660196.125000
521 0.000327 1592454.125000
522 0.000328 1590532.375000
523 0.000329 1588931.625000
524 0.000316 1660750.625000
525 0.000330 1593149.250000
526 0.000330 1591547.125000
527 0.000332 1589647.750000
528 0.000318 1660962.375000
529 0.000332 1594141.750000
530 0.000333 1592242.000000
531 0.000334 1590658.500000
532 0.000320 1661503.000000
533 0.000334 1595120.750000
534 0.000335 1593230.875000
535 0.000336 1591352.500000
536 0.000322 1662036.125000
537 0.000336 1596086.125000
538 0.000338 1593904.000000
539 0.000338 1592337.875000
540 0.000325 1662561.375000
541 0.000339 1596736.875000
542 0.000340 1595168.500000
543 0.000341 1593310.000000
544 0.000327 1663079.625000
545 0.000341 1597678.250000
546 0.000342 1595819.250000
547 0.000343 1594268.750000
548 0.000329 1663267.250000
549 0.000343 1598309.125000
550 0.000344 1597054.375000
551 0.000345 1595215.000000
552 0.000332 1663773.250000
553 0.000346 1599523.250000
554 0.000347 1597683.625000
555 0.000348 1595854.875000
556 0.000334 1664272.000000
557 0.000348 1600427.625000
558 0.000349 1598597.375000
559 0.000350 1596486.000000
560 0.000336 1664764.125000
561 0.000350 1601027.500000
562 0.000351 1599207.750000
563 0.000352 1597688.875000
564 0.000339 1664934.875000
